URL,Text,Links,Image URLS,Image Alt Text,Tags
"http://theartofgooglebooks.tumblr.com/post/104766101410/rocked-chopped-throughout-practical-discourses
","Rocked, chopped.
Throughout Practical Discourses On All the Parts and Offices of the Liturgy of the Church of England: Wherein are Laid Open the Harmony, Excellency, and Usefulness of Its Composure, v. 4:2 by Matthew Hole (1716). Original from the Bavarian State Library. Digitized December 14, 2010.",['http://books.google.com/books?id=7WFFAAAAcAAJ&dq=fear&pg=PA68#v=twopage&q&f=false'],"['http://40.media.tumblr.com/8b8b84e8f1ff08e84f7e992d0c8ca7b6/tumblr_ngbq0iwFja1qixa76o1_250.png', 'http://40.media.tumblr.com/b1e290c7691f19b7ae55815849386a7a/tumblr_ngbq0iwFja1qixa76o2_250.png']","['', '']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#glitch', '#movement', '#motion', '#checkerboard', '#digitization environment', '#distortion', '#fore-edge', '#employee', '#finger', '#fingertip', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104766098280/18th-century-manicule-illustration-from-the
","18th century manicule illustration.
From the front matter of Nouvelle Pratique d'ArithmÃŒÂ©tique (1697). Original from Lyon Public Library. Digitized May 30, 2012.",['http://books.google.com/books?id=CpH5U_EuJPAC&dq=claire&pg=PP3#v=onepage&q&f=false'],['http://41.media.tumblr.com/e4b65f508d969ecb9d069b7258a38fed/tumblr_nezku7P1YU1qixa76o1_500.png'],"[""18th century manicule illustration.\nFrom the front matter of Nouvelle Pratique d'Arithm\xe9tique (1697). Original from Lyon Public Library. Digitized May 30, 2012.""]","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#18th century', '#inscription', '#marginalia', '#illustration', '#hand', '#manicule', '#ink', '#hearts', '#glove', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104766093100/employees-hand-covers-text-from-p-20-21-of
","Employeeâ€°Ã›Âªs hand covers text.
From p. 20-21 of Auction Catalogue, pt. 2 by C.F. Libbie & Co (1750).Does not include metadata indicating library of origination or date of digitization (but does include Stanford library artifacts).",['http://books.google.com/books?id=xVQyAQAAMAAJ&dq=moby%20dick&pg=PA21#v=twopage&q&f=false'],['http://40.media.tumblr.com/726f31d480d40ea9d293a58bd8a3ceba/tumblr_nf1k3cQ6c61qixa76o1_500.png'],"['Employee&rsquo;s hand covers text.\nFrom p. 20-21 of Auction Catalogue, pt. 2 by C.F. Libbie &amp; Co (1750).Does not include metadata indicating library of origination or date of digitization (but does include Stanford library artifacts).']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#employee', '#hand', '#fingers', '#cots', '#spread', '#black and white', '#color', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104766089765/bookplates-1-2-3-4-5-6-7
","Bookplates (1, 2, 3, 4, 5, 6, 7).","['http://books.google.com/books?id=XHYVAAAAYAAJ&dq=macon&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=JHYPAAAAQAAJ&dq=golden&pg=PP3#v=onepage&q&f=false', 'http://books.google.com/books?id=oHQkAAAAMAAJ&dq=golden&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=eecNAAAAQAAJ&dq=student&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=FTAJAAAAQAAJ&dq=nest&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=JHYPAAAAQAAJ&dq=golden&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=KrdYAAAAcAAJ&dq=student&pg=PP2#v=onepage&q&f=false']","['http://36.media.tumblr.com/88d8e722d0ba09f45f7c149ba8e78162/tumblr_nel1alSP4R1qixa76o1_250.png', 'http://40.media.tumblr.com/5ae7b3eb6fe526996ff5cc82e459c3d5/tumblr_nel1alSP4R1qixa76o5_r1_250.png', 'http://40.media.tumblr.com/eecda25b46d3c1d4f210e84c1c92bca5/tumblr_nel1alSP4R1qixa76o6_r1_250.png', 'http://41.media.tumblr.com/1f976777891a43c2c8e0a09a050a9fcc/tumblr_nel1alSP4R1qixa76o7_r1_500.png', 'http://41.media.tumblr.com/052132559ef3cd9f557fdb950c05bf0a/tumblr_nel1alSP4R1qixa76o2_r1_250.png', 'http://36.media.tumblr.com/fc57ae83dee39803ad2f04f8581d6f33/tumblr_nel1alSP4R1qixa76o4_r1_250.png', 'http://41.media.tumblr.com/395819f846a1098d9b82995f6ae77faf/tumblr_nel1alSP4R1qixa76o8_r1_250.png']","['1', '2', '3', '4', '5', '6', '7']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#bookplates', '#George Fillmore Swain', '#John Thomas Hope', '#Ellen McCann', '#Frederich Warburton Dunston', '#Walter Raleigh', '#James Allardes', '#Robert Craig', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104707693480/stamp-spectrum-from-p-289-of-les-eaux-min%C3%A9rales
","Stamp spectrum.
From p. 289 of Les Eaux MinÃŒÂ©rales de Sainte-Claire ÃŒÃ_ Clermond-Ferrand by Henri Lecoq (1831). Original from Lyon Public Library. Digitized July 18, 2011.",['http://books.google.com/books?id=L2XwqOD81_AC&dq=claire&pg=PA289#v=onepage&q&f=false'],['http://36.media.tumblr.com/483c30497e08ab6cd3c90fe469e8ffcc/tumblr_nezk1cBuKj1qixa76o1_500.png'],"['Stamp spectrum.\nFrom p. 289 of Les Eaux Min\xe9rales de Sainte-Claire \xe0 Clermond-Ferrand by Henri Lecoq (1831). Original from Lyon Public Library. Digitized July 18, 2011.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#stamps', '#library stamps', '#red', '#pink', '#magenta', '#Lyon Public Library', '#used books', '#old bookd', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104707689450/the-art-of-google-books-in-media-futures
","Come check out some prints from the Art of Google Books and lots of other cool art at the Sullivan Galleries in Chicago, IL!",[],['http://36.media.tumblr.com/483c30497e08ab6cd3c90fe469e8ffcc/tumblr_nezk1cBuKj1qixa76o1_500.png'],"['Stamp spectrum.\nFrom p. 289 of Les Eaux Min\xe9rales de Sainte-Claire \xe0 Clermond-Ferrand by Henri Lecoq (1831). Original from Lyon Public Library. Digitized July 18, 2011.']","['#The Art of Google Books', '#theartofgooglebooks', '#exhibition', '#Chicago', '#SAIC', '#Media Futures', '#prints']"
"http://theartofgooglebooks.tumblr.com/post/104707682190/fore-edge-stain-throughout-rosalynde-or
","Fore-edge stain.
Throughout Rosalynde: or, Euphuesâ€°Ã›Âª Golden Legacy by Thomas Lodge (1910). Original from the University of Michigan. Digitized October 10, 2007.",['http://books.google.com/books?id=6xlMAAAAMAAJ&dq=golden&pg=PR9#v=twopage&q&f=false'],['http://33.media.tumblr.com/7e7f247307ad4d456c8667ee81186ba0/tumblr_nf1ll3jEbE1qixa76o1_r2_500.gif'],"['Fore-edge stain.\nThroughout Rosalynde: or, Euphues&rsquo; Golden Legacy by Thomas Lodge (1910). Original from the University of Michigan. Digitized October 10, 2007.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#stain', '#stained', '#GIF', '#fore-edge', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104707677655/illustrations-photographed-through-tissue
","Illustrations photographed through tissue.
Throughout The Juvenile Forget Me Not by Mrs. S. C. Hall (1836). Original from the New York Public Library. Digitized November 7, 2006.",['http://books.google.com/books?id=0ugdAAAAMAAJ&dq=me&pg=PA80-IA1#v=onepage&q&f=false'],"['http://40.media.tumblr.com/56ab6fa5668809436eaefdbeba606e18/tumblr_neabrrZsEG1qixa76o1_250.png', 'http://40.media.tumblr.com/ba6736754f93ae5aafead490c3bd800f/tumblr_neabrrZsEG1qixa76o2_r1_250.png', 'http://40.media.tumblr.com/5696149be8bd5f8044e9e8425b636419/tumblr_neabrrZsEG1qixa76o3_r1_250.png', 'http://36.media.tumblr.com/d6e5d0b7349119110a09216308eb1b9f/tumblr_neabrrZsEG1qixa76o4_r1_250.png']","['', '', '', '']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#tissue', '#ghostly', '#obscured', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/104707670990/torn-paper-vista-the-frontispiece-to-voyage-of
","Torn-paper vista.
The frontispiece to Voyage of the United States Frigate Potomac, Under the Command of Commodore John Downes, During the Circumnavigation of the Globe by Jeremiah N. Reynolds (1835). Original from Michigan State University. Digitized June 21, 2013.",['http://books.google.com/books?id=KT46AQAAMAAJ&dq=shock&pg=PP10#v=onepage&q&f=false'],['http://41.media.tumblr.com/a1dabf654f3aaa01a22219ddd297de19/tumblr_nfd7yf7zL11qixa76o1_r1_500.png'],"['Torn-paper vista.\nThe frontispiece to Voyage of the United States Frigate Potomac, Under the Command of Commodore John Downes, During the Circumnavigation of the Globe by Jeremiah N. Reynolds (1835). Original from Michigan State University. Digitized June 21, 2013.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#ripped', '#torn', '#frontispiece', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102913805170/stamp-happy-card-folder-1993-1994-1995-1996
","Stamp-happy card folder (1993, 1994, 1995, 1996).
From the back matter of The Golden Fleece and the Heroes Who Lived Before Achilles by Padraic Colum (1921). Original from the University of Michigan. Digitized July 16, 2007.",['http://books.google.com/books?id=rog6AAAAMAAJ&dq=golden&pg=PA293#v=onepage&q&f=false'],['http://41.media.tumblr.com/c07ab1c2a7697336bb9a0c7304c8e393/tumblr_nf1kezPQ9s1qixa76o1_500.png'],"['Stamp-happy card folder (1993, 1994, 1995, 1996).\nFrom the back matter of The Golden Fleece and the Heroes Who Lived Before Achilles by Padraic Colum (1921). Original from the University of Michigan. Digitized July 16, 2007.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#library ephemera', '#ephemera', '#card folder', '#stamps', '#library stamps', '#building use only', '#1993', '#1994', '#1995', '#1996', '#used book', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
